NCEP Rapid Refresh (RAP)
CONUS Pressure Level Fields (40 levels)
GRIB2 Table Documentation
25 Oct 2012

RecordNumber,	TableNumber,	DisciplineNumber,	CategoryNumber,	ParameterNumber,	WGrib2Name,	NCLName,				FieldType,			Description,													Units,		Number of Levels,
1-37,		0,		0,			3,		5,			HGT,		HGT_P0_L100_GLC0,			Geopotential Height,		Geopotential height,												gpm,		37,
38-74,		0,		0,			0,		0,			TMP,		TMP_P0_L100_GLC0,			Temperature,			Temperature,													K,		37,
75-111,		0,		0,			1,		1,			RH,		RH_P0_L100_GLC0,			Relative Humidity,		Relative humidity,												%,		37,
112.1-148.1,	0,		0,			2,		2,			UGRD,		UGRD_P0_L100_GLC0,			Wind,				U-component of wind,												m/s,		37,
112.2-148.2,	0,		0,			2,		3,			VGRD,		VGRD_P0_L100_GLC0,			Wind,				V-component of wind,												m/s,		37,
149-185,	0,		0,			2,		8,			VVEL,		VVEL_P0_L100_GLC0,			Vertical Velocity,		Vertical velocity (pressure),											Pa/s,		37,
186,		0,		0,			3,		198,			MSLMA,		MSLMA_P0_L101_GLC0,			Pressure,			MSLP (MAPS system reduction),											Pa,		1,
187,		0,		0,			3,		0,			PRES,		PRES_P0_L1_GLC0,			Pressure,			Surface pressure,												Pa,		1,
188,		0,		0,			0,		2,			POT,		POT_P0_L103_GLC0,			Temperature,			Potential temperature at 2 m above ground level,								K,		1,
189,		0,		0,			0,		6,			DPT,		DPT_P0_L103_GLC0,			Dewpoint,			Dewpoint temperature at 2 m above ground level,									K,		1,
190,		0,		0,			0,		7,			DEPR,		DEPR_P0_L103_GLC0,			Dewpoint Depression,		Dewpoint depression at 2 m above ground level,									K,		1,
191.1,		0,		0,			2,		2,			UGRD,		UGRD_P0_L103_GLC0,			Wind,				U-component of wind at 10 m above ground level,									m/s,		1,
191.2,		0,		0,			2,		3,			VGRD,		VGRD_P0_L103_GLC0,			Wind,				V-component of wind at 10 m above ground level,									m/s,		1,
192,		0,		0,			0,		0,			TMP,		TMP_P0_L103_GLC0,			Temperature,			Temperature at 2 m above ground level,										K,		1,
193,		0		0,			1,		0,			SPFH,		SPFH_P0_L103_GLC0,			Specific Humidity,		Specific humidity at 2 m above ground level,									kg/kg,		1,
194,		0,		0,			0,		3,			EPOT,		EPOT_P0_L1_GLC0,			Temperature,			Pseudo-adiabatic potential temperature at 2 m above ground level,						K,		1,
195,		0,		0,			7,		6,			CAPE,		CAPE_P0_L1_GLC0,			Instability,			Surface CAPE using highest theta-e parcel from lowest 10 mb,							J/kg,		1,
196,		0,		0,			7,		7,			CIN,		CIN_P0_L1_GLC0,				Instability,			Surface CIN using highest theta-e parcel from lowest 10 mb,							J/kg,		1,
197,		0,		0,			7,		192,			LFTX,		LFTX_P0_2L100_GLC0,			Lifted Index,			Surface lifted index using 500 hPa reference level,								K,		1,
198,		0,		0,			7,		193,			4LFTX,		4LFTX_P0_2L108_GLC0,			Lifted Index,			Most unstable lifted index in six lowest 30 mb layers,								K,		1,
199,		0,		0,			1,		9,			NCPCP,		NCPCP_P8_L1_GLC0_accHHh,		Precipitation,			Total large-scale precipitation accumulated since initial time,							kg/m^2,		1,
200,		0,		0,			1,		9,			NCPCP,		NCPCP_P8_L1_GLC0_acc1h,			Precipitation,			Total large-scale precipitation accumulated over previous hour,							kg/m^2,		1,
